Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Watts-Brown, Juaron",Long Beach St.,3.68,4,4,15,12,1,1,0,73.33,50,33,30,29,111,7,1,7,258,0.194,7,3,1
"Pinto, Nick",UC Irvine,3.23,2,6,15,15,0,0,0,86.33,87,42,31,31,82,11,3,4,329,0.264,4,8,0
"Ingebritson, Gordon",UC Irvine,1.76,6,0,33,0,0,0,4,66.66,50,15,13,5,62,7,3,3,242,0.207,0,4,0
"Antone, Andre",UC Irvine,4.63,3,0,22,2,0,0,0,35,36,20,18,9,38,6,0,4,135,0.267,1,8,0
"Brooks, Tanner",UC Irvine,5.06,3,2,25,0,0,0,0,26.66,34,16,15,7,30,4,0,1,110,0.309,2,4,0
"Frias, Michael",UC Irvine,5.19,5,2,11,11,0,0,0,59,62,36,34,21,60,15,1,10,225,0.276,3,3,0
"King, Jacob",UC Irvine,5.56,1,1,28,0,0,0,7,22.66,26,18,14,12,29,2,1,4,93,0.28,2,2,0
"Rincover, Nick",UC Irvine,2,0,1,13,0,0,0,0,9,6,2,2,6,8,1,0,0,28,0.214,1,3,0
"Robinson, Cooper",UC Irvine,8.05,1,1,15,1,0,0,0,15.66,26,15,14,5,19,6,0,1,70,0.371,4,4,0
"Spillane, Jake",UC Irvine,4.77,0,0,10,0,0,0,0,5.66,6,3,3,8,5,0,0,0,22,0.273,0,0,0
"Stanford, Michael",UC Irvine,4.37,1,1,11,5,0,0,0,22.66,27,12,11,15,19,10,0,1,86,0.314,2,2,0
"Suarez, Danny",UC Irvine,5.79,0,1,6,6,0,0,0,23.33,24,16,15,9,30,4,0,4,90,0.267,1,2,0
"Taylor, Troy",UC Irvine,3.82,2,3,27,0,0,0,6,33,28,14,14,18,42,4,1,1,124,0.226,5,3,0
"Thomas, Roger",UC Irvine,0,0,0,6,0,0,0,0,0,1,3,3,1,0,0,0,0,1,1,0,1,0
"Vizcaino, David",UC Irvine,1.93,5,0,12,6,0,0,0,37.33,22,9,8,8,24,4,0,3,133,0.165,0,3,0
"Wall, Finnegan",UC Irvine,10,0,0,6,0,0,0,0,9,15,10,10,4,7,4,0,2,41,0.366,2,1,0
"Wentworth, Troy",UC Irvine,7.37,1,0,16,0,0,0,0,7.33,6,6,6,10,4,1,0,0,27,0.222,0,2,0
"Wheeler, Cameron",UC Irvine,6.51,2,6,15,10,0,0,0,47,51,37,34,10,38,10,2,6,186,0.274,3,9,0
"Stultz, Tyler",CSU Fullerton,3.36,5,5,15,14,0,0,0,88.33,84,39,33,24,86,18,3,4,342,0.246,2,10,0
"Repetti, Cameron",CSU Fullerton,5.86,1,6,23,3,0,0,3,50.66,50,38,33,18,47,4,1,8,202,0.248,8,6,1
"Chester, Fynn",CSU Fullerton,2.3,3,1,23,6,1,1,0,62.66,59,20,16,12,32,14,2,2,236,0.25,2,1,0
"Gil, Ryan",CSU Fullerton,5.4,3,2,15,3,0,0,0,21.66,15,14,13,19,25,5,0,0,76,0.197,5,6,0
"Gomez, Samuel",CSU Fullerton,7.94,0,0,14,1,0,0,0,11.33,16,10,10,7,9,2,0,2,45,0.356,1,3,0
"Howitt, Josh",CSU Fullerton,6.35,0,3,26,0,0,0,0,17,20,14,12,13,14,5,1,0,65,0.308,3,9,1
"Johnson, Wyatt",CSU Fullerton,7.84,0,0,19,1,0,0,0,10.33,17,11,9,12,10,1,1,1,47,0.362,5,4,0
"Jones, Peyton",CSU Fullerton,8.07,1,2,16,5,0,0,1,29,39,28,26,12,19,8,1,2,117,0.333,6,7,0
"Josten, Timothy",CSU Fullerton,8.39,0,0,6,3,0,0,0,9.66,20,11,9,5,7,3,0,0,47,0.426,1,1,0
"Joya, Anthony",CSU Fullerton,13.5,0,0,7,1,0,0,0,4,8,7,6,5,3,3,0,0,19,0.421,1,1,0
"Kelly, Grant",CSU Fullerton,18,0,1,6,0,0,0,0,3,6,6,6,4,0,3,0,0,14,0.429,0,1,0
"Meyer, Gavin",CSU Fullerton,5.59,2,1,23,0,0,0,0,29,34,18,18,12,32,5,1,3,116,0.293,4,3,0
"Muniz, Izeah",CSU Fullerton,10.22,0,0,16,1,0,0,0,12.33,18,14,14,6,15,2,0,2,52,0.346,2,1,0
"Rodriguez, Christian",CSU Fullerton,4.19,1,3,7,7,0,0,0,38.66,37,21,18,13,38,7,3,4,147,0.252,3,2,1
"Spears, Brayden",CSU Fullerton,54.55,0,0,4,0,0,0,0,0.33,2,2,2,1,0,1,0,0,3,0.667,0,0,0
"Vargas, Jake",CSU Fullerton,7.73,0,0,5,0,0,0,0,4.66,4,4,4,3,5,0,0,0,18,0.222,0,1,0
"Wambold, James",CSU Fullerton,12.38,0,2,9,0,0,0,0,8,12,11,11,5,4,3,0,1,32,0.375,4,0,0
