"Name","School","ERA","W","L","G","GS","CG","SHO","SV","IP","H","R","ER","BB","SO","X2B","X3B","HR","BF","BAA","WP","HBP","BK","IP_outs","FIP","SO_BB","ERA_plus","WHIP","H9","HR9","BB9","SO9","K_rate","BB_rate","K_BB_rate"
"Johnson, Marques","Long Beach St.",3.25,1,1,14,6,0,0,0,44.33,30,16,16,21,51,5,0,3,158,0.19,6,3,0,133,4.26,2.43,156,1.624,6.1,0.6,4.3,10.4,32.3,13.3,19
"Locke, Zach","Long Beach St.",20.3,0,0,5,0,0,0,0,1.33,4,3,3,1,1,1,0,0,8,0.5,0,0,0,4,4.81,1,25,1.504,27.1,0,6.8,6.8,12.5,12.5,0
"Noble, Jack","Long Beach St.",3.36,6,4,18,10,0,0,0,64.33,60,27,24,20,61,15,0,8,246,0.244,2,6,0,193,4.99,3.05,151,1.259,8.4,1.1,2.8,8.5,24.8,8.1,16.7
"Ponce, Dalton","Long Beach St.",2.95,1,1,21,0,0,0,0,18.33,17,6,6,3,16,3,0,3,67,0.254,2,3,0,55,5.42,5.33,172,1.037,8.3,1.5,1.5,7.9,23.9,4.5,19.4
"Rons, Jake","Long Beach St.",5.33,0,3,18,2,0,0,0,25.33,25,16,15,7,24,6,0,5,94,0.266,3,1,0,76,5.67,3.43,95,1.224,8.9,1.8,2.5,8.5,25.5,7.4,18.1
"Voelker, Zach","Long Beach St.",6.05,4,4,16,7,0,0,0,38.66,40,26,26,18,32,5,0,4,152,0.263,4,1,1,116,5.22,1.78,84,1.293,9.3,0.9,4.2,7.4,21.1,11.8,9.3
"Watts-Brown, Juaron","Long Beach St.",3.68,4,4,15,12,1,1,0,73.33,50,33,30,29,111,7,1,7,258,0.194,7,3,1,220,3.58,3.83,138,1.909,6.1,0.9,3.6,13.6,43,11.2,31.8
"Pinto, Nick","UC Irvine",3.23,2,6,15,15,0,0,0,86.33,87,42,31,31,82,11,3,4,329,0.264,4,8,0,259,4.11,2.65,157,1.309,9.1,0.4,3.2,8.5,24.9,9.4,15.5
"Ingebritson, Gordon","UC Irvine",1.76,6,0,33,0,0,0,4,66.66,50,15,13,5,62,7,3,3,242,0.207,0,4,0,200,3.19,12.4,289,1.005,6.7,0.4,0.7,8.4,25.6,2.1,23.5
"Antone, Andre","UC Irvine",4.63,3,0,22,2,0,0,0,35,36,20,18,9,38,6,0,4,135,0.267,1,8,0,105,4.83,4.22,110,1.343,9.3,1,2.3,9.8,28.1,6.7,21.4
"Brooks, Tanner","UC Irvine",5.06,3,2,25,0,0,0,0,26.66,34,16,15,7,30,4,0,1,110,0.309,2,4,0,80,3.53,4.29,100,1.387,11.5,0.3,2.4,10.1,27.3,6.4,20.9
"Frias, Michael","UC Irvine",5.19,5,2,11,11,0,0,0,59,62,36,34,21,60,15,1,10,225,0.276,3,3,0,177,5.45,2.86,98,1.373,9.5,1.5,3.2,9.2,26.7,9.3,17.4
"King, Jacob","UC Irvine",5.56,1,1,28,0,0,0,7,22.66,26,18,14,12,29,2,1,4,93,0.28,2,2,0,68,5.64,2.42,91,1.809,10.3,1.6,4.8,11.5,31.2,12.9,18.3
"Rincover, Nick","UC Irvine",2,0,1,13,0,0,0,0,9,6,2,2,6,8,1,0,0,28,0.214,1,3,0,27,5.28,1.33,254,1.556,6,0,6,8,28.6,21.4,7.2
"Robinson, Cooper","UC Irvine",8.05,1,1,15,1,0,0,0,15.66,26,15,14,5,19,6,0,1,70,0.371,4,4,0,47,4.18,3.8,63,1.532,14.9,0.6,2.9,10.9,27.1,7.1,20
"Spillane, Jake","UC Irvine",4.77,0,0,10,0,0,0,0,5.66,6,3,3,8,5,0,0,0,22,0.273,0,0,0,17,6.52,0.62,106,2.293,9.5,0,12.7,7.9,22.7,36.4,-13.7
"Stanford, Michael","UC Irvine",4.37,1,1,11,5,0,0,0,22.66,27,12,11,15,19,10,0,1,86,0.314,2,2,0,68,5.2,1.27,116,1.5,10.7,0.4,6,7.5,22.1,17.4,4.7
"Suarez, Danny","UC Irvine",5.79,0,1,6,6,0,0,0,23.33,24,16,15,9,30,4,0,4,90,0.267,1,2,0,70,5.13,3.33,88,1.672,9.3,1.5,3.5,11.6,33.3,10,23.3
"Taylor, Troy","UC Irvine",3.82,2,3,27,0,0,0,6,33,28,14,14,18,42,4,1,1,124,0.226,5,3,0,99,3.81,2.33,133,1.818,7.6,0.3,4.9,11.5,33.9,14.5,19.4
"Thomas, Roger","UC Irvine",0,0,0,6,0,0,0,0,0,1,3,3,1,0,0,0,0,1,1,0,1,0,0,Inf,0,Inf,Inf,Inf,NA,Inf,NA,0,100,-100
"Vizcaino, David","UC Irvine",1.93,5,0,12,6,0,0,0,37.33,22,9,8,8,24,4,0,3,133,0.165,0,3,0,112,4.7,3,263,0.857,5.3,0.7,1.9,5.8,18,6,12
"Wall, Finnegan","UC Irvine",10,0,0,6,0,0,0,0,9,15,10,10,4,7,4,0,2,41,0.366,2,1,0,27,7.06,1.75,51,1.222,15,2,4,7,17.1,9.8,7.3
"Wentworth, Troy","UC Irvine",7.37,1,0,16,0,0,0,0,7.33,6,6,6,10,4,1,0,0,27,0.222,0,2,0,22,7.88,0.4,69,1.91,7.4,0,12.3,4.9,14.8,37,-22.2
"Wheeler, Cameron","UC Irvine",6.51,2,6,15,10,0,0,0,47,51,37,34,10,38,10,2,6,186,0.274,3,9,0,141,5.31,3.8,78,1.021,9.8,1.1,1.9,7.3,20.4,5.4,15
"Stultz, Tyler","CSU Fullerton",3.36,5,5,15,14,0,0,0,88.33,84,39,33,24,86,18,3,4,342,0.246,2,10,0,265,3.85,3.58,151,1.245,8.6,0.4,2.4,8.8,25.1,7,18.1
