Name,School,AVG,G,GS,AB,R,H,2B,3B,HR,RBI,TB,SLG,BB,HBP,SO,GDP,OBP,SF,SH,SB,SBA
"Rozell, Brennan",Long Beach St.,0.048,16,5,21,2,1,0,0,0,1,1,0.048,2,0,4,0,0.130,0,0,2,2
"Schulze, Peyton",Long Beach St.,0.268,46,41,157,20,42,10,1,2,20,60,0.382,16,1,30,3,0.335,2,2,4,5
"Voelker, Zach",Long Beach St.,0.000,14,7,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Watts-Brown, Juaron",Long Beach St.,0.000,15,12,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"White, Tyler",Long Beach St.,0.205,38,20,78,12,16,2,0,0,5,18,0.231,9,4,20,0,0.319,0,2,4,4
"Cabrera, Cole",Hawaii,0.292,52,52,192,40,56,10,0,4,34,78,0.406,32,10,40,2,0.410,5,2,14,17
"Scott, Scotty",Hawaii,0.235,46,41,136,27,32,3,0,1,10,38,0.279,31,9,25,2,0.404,2,8,5,9
"Ujimori, Aaron",Hawaii,0.237,49,47,186,29,44,6,1,1,24,55,0.296,17,9,43,4,0.330,0,8,2,7
"Wong, Matt",Hawaii,0.298,52,51,198,33,59,12,0,5,41,86,0.434,17,7,56,1,0.367,4,0,1,2
"Igawa, Jacob",Hawaii,0.267,48,47,176,30,47,13,0,7,35,81,0.460,15,12,49,4,0.363,1,1,5,6
"Duarte, Dallas",Hawaii,0.293,40,39,147,30,43,10,0,2,26,59,0.401,9,12,16,4,0.379,1,6,7,13
"Miyao,Stone",Hawaii,0.292,48,44,168,31,49,8,1,3,35,68,0.405,21,2,37,5,0.371,3,2,3,5
"Donahue, Kyson",Hawaii,0.304,38,35,125,26,38,10,0,6,21,66,0.528,24,4,52,1,0.429,1,3,2,3
"Rivera, Bronson",Hawaii,0.263,31,20,76,6,20,2,1,0,14,24,0.316,8,1,19,2,0.341,0,0,0,0
"Archer, Andy",Hawaii,0.000,19,12,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Harrison, Connor",Hawaii,0.000,19,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Hagan, Cameron",Hawaii,0.000,18,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Ronan, Cory",Hawaii,0.000,14,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Aribal, Matt",Hawaii,0.133,23,5,30,6,4,0,0,0,0,4,0.133,3,2,8,0,0.257,0,2,0,0
"Atkins, Tai",Hawaii,0.000,28,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Calderon, Naighel",Hawaii,0.269,22,14,52,8,14,3,0,0,6,17,0.327,8,0,11,1,0.367,0,2,8,9
"Cardinez, Nainoa",Hawaii,0.189,35,21,74,10,14,3,0,3,11,26,0.351,4,7,34,0,0.294,0,0,0,1
"Donahue, Jordan",Hawaii,0.298,49,47,161,31,48,7,1,0,20,57,0.354,18,6,37,0,0.383,3,5,9,12
"Dyball, Tyler",Hawaii,0.000,3,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Flores, Junior",Hawaii,0.000,9,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
"Gustin, Harry",Hawaii,0.000,13,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
